|Circuit # | Qubits| Depth |  CX  |  U3  | Ent. Ratio | X  | Y  | Z  | H  |  RX |  RY |  RZ | S  | T  | Total Gates |Diversity | CX/Qubit | Width/Depth | CX/U3  | 1Q Ratio| Best Simulator |
|   3132 |   11  |   27  |  8   |  9   |    0.30    | 15 | 14 | 5  | 11 |  5  |  12 |  8  | 11 | 6  |     143     |    15    |   0.73   |     0.41    |  0.80  |   0.67  |ibmq_sherbrooke |
|   3133 |   9   |   26  |  6   |  8   |    0.23    | 5  | 10 | 9  | 9  |  16 |  3  |  8  | 6  | 12 |     122     |    15    |   0.67   |     0.35    |  0.67  |   0.70  |  ibmq_sydney   |
|   3134 |   10  |   37  |  11  |  17  |    0.30    | 18 | 12 | 16 | 10 |  10 |  13 |  9  | 11 | 14 |     189     |    15    |   1.10   |     0.27    |  0.61  |   0.69  |ibmq_sherbrooke |
|   3135 |   6   |   17  |  2   |  5   |    0.12    | 3  | 6  | 2  | 4  |  1  |  3  |  3  | 5  | 4  |      55     |    15    |   0.33   |     0.35    |  0.33  |   0.65  |  ibmq_prague   |
|   3136 |   8   |   36  |  11  |  12  |    0.31    | 8  | 9  | 9  | 10 |  8  |  10 |  5  | 14 | 7  |     140     |    15    |   1.38   |     0.22    |  0.85  |   0.66  |  ibmq_prague   |
|   3137 |   9   |   28  |  6   |  9   |    0.21    | 7  | 10 | 7  | 14 |  12 |  11 |  11 | 12 | 13 |     142     |    15    |   0.67   |     0.32    |  0.60  |   0.75  |  ibmq_quebec   |
|   3138 |   7   |   39  |  9   |  11  |    0.23    | 9  | 15 | 12 | 11 |  9  |  10 |  5  | 4  | 21 |     145     |    15    |   1.29   |     0.18    |  0.75  |   0.74  | ibmq_peekskill |
|   3139 |   5   |   22  |  4   |  3   |    0.18    | 7  | 5  | 5  | 1  |  3  |  4  |  4  | 4  | 4  |      58     |    15    |   0.80   |     0.23    |  1.00  |   0.69  |  ibmq_quebec   |
|   3140 |   11  |   24  |  13  |  5   |    0.54    | 10 | 3  | 6  | 8  |  6  |  8  |  5  | 6  | 13 |     108     |    15    |   1.18   |     0.46    |  2.17  |   0.65  |  ibmq_prague   |
|   3141 |   8   |   47  |  13  |  17  |    0.28    | 13 | 17 | 12 | 17 |  15 |  10 |  12 | 9  | 13 |     194     |    15    |   1.62   |     0.17    |  0.72  |   0.70  |  ibmq_quebec   |
|   3142 |   9   |   33  |  13  |  9   |    0.39    | 6  | 9  | 6  | 7  |  13 |  7  |  8  | 9  | 8  |     125     |    15    |   1.44   |     0.27    |  1.30  |   0.66  | ibmq_marrakesh |
|   3143 |   11  |   47  |  21  |  19  |    0.45    | 12 | 15 | 23 | 20 |  19 |  19 |  23 | 21 | 11 |     255     |    15    |   1.91   |     0.23    |  1.05  |   0.71  | ibmq_rochester |
|   3144 |   8   |   45  |  12  |  13  |    0.27    | 16 | 17 | 14 | 10 |  7  |  8  |  10 | 7  | 18 |     174     |    15    |   1.50   |     0.18    |  0.86  |   0.69  |ibmq_sherbrooke |
|   3145 |   4   |   37  |  9   |  6   |    0.24    | 8  | 7  | 1  | 3  |  6  |  8  |  5  | 7  | 11 |      89     |    15    |   2.25   |     0.11    |  1.29  |   0.70  | ibmq_brooklyn  |
|   3146 |   5   |   36  |  6   |  11  |    0.17    | 6  | 12 | 7  | 7  |  4  |  6  |  8  | 8  | 11 |     111     |    15    |   1.20   |     0.14    |  0.50  |   0.72  |   ibmq_osaka   |
|   3147 |   10  |   38  |  13  |  14  |    0.34    | 16 | 9  | 11 | 11 |  12 |  10 |  13 | 11 | 15 |     176     |    15    |   1.30   |     0.26    |  0.87  |   0.69  |ibmq_sherbrooke |
|   3148 |   4   |   29  |  6   |  6   |    0.21    | 3  | 4  | 1  | 3  |  3  |  7  |  5  | 3  | 9  |      66     |    15    |   1.50   |     0.14    |  0.86  |   0.67  | ibmq_manhattan |
|   3149 |   7   |   44  |  16  |  18  |    0.36    | 13 | 11 | 11 | 7  |  7  |  16 |  12 | 6  | 11 |     156     |    15    |   2.29   |     0.16    |  0.84  |   0.72  |  ibmq_sydney   |
|   3150 |   6   |   28  |  6   |  7   |    0.21    | 11 | 13 | 4  | 7  |  3  |  5  |  5  | 6  | 7  |      98     |    15    |   1.00   |     0.21    |  0.75  |   0.69  |ibmq_poughkeepsie|
|   3151 |   6   |   33  |  8   |  3   |    0.24    | 6  | 8  | 8  | 9  |  3  |  11 |  8  | 5  | 5  |     103     |    15    |   1.33   |     0.18    |  2.00  |   0.64  | ibmq_marrakesh |
|   3152 |   11  |   33  |  15  |  17  |    0.45    | 12 | 13 | 17 | 19 |  17 |  7  |  14 | 10 | 16 |     201     |    15    |   1.36   |     0.33    |  0.83  |   0.71  | ibmq_peekskill |
|   3153 |   5   |   29  |  9   |  10  |    0.31    | 8  | 6  | 5  | 5  |  7  |  7  |  7  | 5  | 6  |      92     |    15    |   1.80   |     0.17    |  0.82  |   0.72  | ibmq_marrakesh |
|   3154 |   11  |   48  |  17  |  20  |    0.35    | 25 | 20 | 17 | 6  |  14 |  24 |  15 | 20 | 15 |     248     |    15    |   1.55   |     0.23    |  0.81  |   0.71  |  ibmq_prague   |
|   3155 |   7   |   39  |  10  |  10  |    0.26    | 6  | 8  | 8  | 8  |  14 |  10 |  8  | 13 | 8  |     132     |    15    |   1.43   |     0.18    |  0.91  |   0.70  |   ibmq_osaka   |
|   3156 |   11  |   38  |  20  |  14  |    0.53    | 7  | 18 | 18 | 18 |  20 |  13 |  18 | 14 | 17 |     219     |    15    |   1.82   |     0.29    |  1.33  |   0.72  |  ibmq_sydney   |
|   3157 |   10  |   39  |  10  |  12  |    0.26    | 13 | 16 | 15 | 12 |  13 |  11 |  17 | 15 | 15 |     198     |    15    |   1.00   |     0.26    |  0.77  |   0.70  | ibmq_singapore |
|   3158 |   9   |   46  |  15  |  11  |    0.33    | 18 | 10 | 14 | 14 |  17 |  11 |  10 | 17 | 13 |     197     |    15    |   1.67   |     0.20    |  1.25  |   0.69  |  ibmq_quebec   |
|   3159 |   5   |   37  |  2   |  12  |    0.05    | 5  | 13 | 8  | 6  |  6  |  6  |  12 | 8  | 6  |     111     |    15    |   0.40   |     0.14    |  0.15  |   0.74  | ibmq_marrakesh |
|   3160 |   7   |   26  |  6   |  10  |    0.23    | 6  | 7  | 6  | 3  |  7  |  6  |  12 | 4  | 9  |      99     |    15    |   0.86   |     0.27    |  0.55  |   0.71  |  ibmq_toronto  |
|   3161 |   4   |   23  |  4   |  5   |    0.17    | 4  | 7  | 3  | 0  |  5  |  1  |  1  | 6  | 3  |      53     |    14    |   1.00   |     0.17    |  0.67  |   0.66  |  ibmq_quebec   |
|   3162 |   6   |   21  |  4   |  5   |    0.19    | 9  | 7  | 4  | 9  |  4  |  4  |  3  | 11 | 1  |      80     |    15    |   0.67   |     0.29    |  0.67  |   0.71  |ibmq_sherbrooke |
|   3163 |   11  |   33  |  15  |  18  |    0.45    | 15 | 16 | 16 | 13 |  15 |  15 |  18 | 15 | 8  |     204     |    15    |   1.36   |     0.33    |  0.79  |   0.73  |  ibmq_quebec   |
|   3164 |   5   |   9   |  3   |  3   |    0.33    | 1  | 2  | 2  | 5  |  1  |  2  |  1  | 3  | 0  |      31     |    13    |   0.60   |     0.56    |  0.75  |   0.65  |   ibmq_osaka   |
|   3165 |   11  |   17  |  6   |  6   |    0.35    | 11 | 9  | 10 | 7  |  12 |  5  |  8  | 12 | 7  |     119     |    15    |   0.55   |     0.65    |  0.86  |   0.73  | ibmq_manhattan |
|   3166 |   5   |   34  |  8   |  5   |    0.24    | 9  | 11 | 6  | 12 |  6  |  7  |  9  | 3  | 8  |     106     |    15    |   1.60   |     0.15    |  1.33  |   0.72  |  ibmq_quebec   |
|   3167 |   9   |   43  |  16  |  16  |    0.37    | 18 | 15 | 6  | 13 |  16 |  14 |  20 | 13 | 14 |     202     |    15    |   1.78   |     0.21    |  0.94  |   0.72  | ibmq_marrakesh |
|   3168 |   7   |   38  |  5   |  11  |    0.13    | 8  | 14 | 8  | 14 |  8  |  7  |  15 | 11 | 12 |     144     |    15    |   0.71   |     0.18    |  0.42  |   0.75  | ibmq_singapore |
|   3169 |   9   |   37  |  13  |  8   |    0.35    | 13 | 11 | 12 | 10 |  11 |  12 |  15 | 15 | 7  |     167     |    15    |   1.44   |     0.24    |  1.44  |   0.68  |ibmq_sherbrooke |
|   3170 |   10  |   47  |  14  |  17  |    0.30    | 11 | 14 | 21 | 19 |  14 |  15 |  11 | 16 | 19 |     224     |    15    |   1.40   |     0.21    |  0.78  |   0.70  |ibmq_sherbrooke |
|   3171 |   6   |   10  |  2   |  4   |    0.20    | 2  | 2  | 3  | 1  |  4  |  3  |  0  | 4  | 1  |      38     |    14    |   0.33   |     0.60    |  0.40  |   0.63  |ibmq_sherbrooke |
|   3172 |   8   |   19  |  6   |  4   |    0.32    | 3  | 5  | 6  | 4  |  3  |  7  |  9  | 6  | 9  |      85     |    15    |   0.75   |     0.42    |  1.20  |   0.66  | ibmq_peekskill |
|   3173 |   5   |   27  |  7   |  6   |    0.26    | 6  | 8  | 2  | 6  |  7  |  6  |  5  | 6  | 6  |      79     |    15    |   1.40   |     0.19    |  1.00  |   0.73  | ibmq_peekskill |
|   3174 |   8   |   20  |  5   |  9   |    0.25    | 5  | 3  | 8  | 9  |  3  |  7  |  5  | 6  | 5  |      87     |    15    |   0.62   |     0.40    |  0.50  |   0.69  | ibmq_marrakesh |
|   3175 |   7   |   16  |  5   |  3   |    0.31    | 4  | 9  | 3  | 3  |  5  |  2  |  5  | 2  | 3  |      61     |    15    |   0.71   |     0.44    |  1.25  |   0.64  | ibmq_singapore |
|   3176 |   5   |   24  |  4   |  8   |    0.17    | 7  | 2  | 7  | 5  |  8  |  3  |  5  | 4  | 1  |      71     |    15    |   0.80   |     0.21    |  0.44  |   0.70  |  ibmq_prague   |
|   3177 |   7   |   18  |  8   |  8   |    0.44    | 5  | 3  | 7  | 5  |  6  |  1  |  5  | 5  | 3  |      72     |    15    |   1.14   |     0.39    |  0.89  |   0.67  | ibmq_manhattan |
|   3178 |   4   |   44  |  10  |  9   |    0.23    | 8  | 10 | 6  | 5  |  4  |  3  |  6  | 4  | 6  |      93     |    15    |   2.50   |     0.09    |  1.00  |   0.66  |  ibmq_quebec   |
|   3179 |   11  |   14  |  3   |  5   |    0.21    | 3  | 5  | 6  | 2  |  4  |  2  |  5  | 3  | 9  |      68     |    15    |   0.27   |     0.79    |  0.50  |   0.65  | ibmq_singapore |
|   3180 |   4   |   15  |  4   |  5   |    0.27    | 2  | 1  | 0  | 4  |  3  |  2  |  1  | 0  | 2  |      35     |    13    |   1.00   |     0.27    |  0.67  |   0.57  |   ibmq_perth   |
|   3181 |   10  |   31  |  8   |  9   |    0.26    | 13 | 10 | 10 | 8  |  13 |  15 |  10 | 14 | 15 |     169     |    15    |   0.80   |     0.32    |  0.80  |   0.69  |ibmq_sherbrooke |
|   3182 |   8   |   47  |  17  |  13  |    0.36    | 13 | 17 | 11 | 9  |  13 |  15 |  13 | 8  | 13 |     178     |    15    |   2.12   |     0.17    |  1.21  |   0.70  |  ibmq_sydney   |
|   3183 |   7   |   20  |  9   |  6   |    0.45    | 11 | 12 | 4  | 5  |  1  |  3  |  3  | 4  | 5  |      82     |    15    |   1.29   |     0.35    |  1.29  |   0.66  | ibmq_marrakesh |
|   3184 |   4   |   8   |  1   |  2   |    0.12    | 1  | 0  | 1  | 1  |  0  |  3  |  1  | 1  | 3  |      21     |    13    |   0.25   |     0.50    |  0.33  |   0.62  | ibmq_singapore |
|   3185 |   9   |   44  |  16  |  10  |    0.36    | 13 | 18 | 10 | 5  |  8  |  12 |  10 | 16 | 18 |     173     |    15    |   1.78   |     0.20    |  1.45  |   0.69  | ibmq_manhattan |
|   3186 |   9   |   19  |  4   |  5   |    0.21    | 3  | 5  | 5  | 9  |  5  |  6  |  4  | 6  | 3  |      78     |    15    |   0.44   |     0.47    |  0.67  |   0.65  |  ibmq_prague   |
|   3187 |   11  |   21  |  8   |  12  |    0.38    | 14 | 6  | 5  | 8  |  10 |  4  |  5  | 12 | 10 |     128     |    15    |   0.73   |     0.52    |  0.62  |   0.67  |  ibmq_mumbai   |
|   3188 |   8   |   24  |  9   |  1   |    0.38    | 5  | 5  | 10 | 4  |  2  |  4  |  6  | 7  | 10 |      87     |    15    |   1.12   |     0.33    |  4.50  |   0.62  |  ibmq_prague   |
|   3189 |   6   |   24  |  2   |  6   |    0.08    | 7  | 7  | 5  | 4  |  4  |  6  |  7  | 7  | 9  |      86     |    15    |   0.33   |     0.25    |  0.29  |   0.72  |ibmq_sherbrooke |
|   3190 |   11  |   10  |  1   |  5   |    0.10    | 2  | 9  | 2  | 3  |  2  |  3  |  6  | 2  | 5  |      61     |    15    |   0.09   |     1.10    |  0.17  |   0.64  | ibmq_rochester |
|   3191 |   10  |   54  |  20  |  17  |    0.37    | 21 | 23 | 22 | 13 |  18 |  17 |  14 | 17 | 18 |     250     |    15    |   2.00   |     0.19    |  1.11  |   0.72  | ibmq_marrakesh |
|   3192 |   9   |   37  |  13  |  11  |    0.35    | 12 | 16 | 11 | 16 |  14 |  13 |  13 | 15 | 9  |     180     |    15    |   1.44   |     0.24    |  1.08  |   0.72  |ibmq_sherbrooke |
|   3193 |   6   |   37  |  10  |  8   |    0.27    | 15 | 9  | 5  | 6  |  7  |  7  |  11 | 7  | 10 |     121     |    15    |   1.67   |     0.16    |  1.11  |   0.70  |  ibmq_toronto  |
|   3194 |   7   |   24  |  8   |  8   |    0.33    | 7  | 7  | 3  | 6  |  4  |  9  |  10 | 6  | 3  |      91     |    15    |   1.14   |     0.29    |  0.89  |   0.69  |  ibmq_quebec   |
|   3195 |   6   |   14  |  3   |  0   |    0.21    | 2  | 3  | 5  | 2  |  5  |  1  |  2  | 5  | 5  |      48     |    14    |   0.50   |     0.43    |  3.00  |   0.62  |ibmq_sherbrooke |
|   3196 |   11  |   11  |  2   |  5   |    0.18    | 9  | 6  | 6  | 1  |  3  |  2  |  4  | 3  | 3  |      68     |    15    |   0.18   |     1.00    |  0.33  |   0.62  |ibmq_sherbrooke |
|   3197 |   10  |   30  |  11  |  7   |    0.37    | 12 | 6  | 9  | 6  |  6  |  10 |  9  | 9  | 12 |     130     |    15    |   1.10   |     0.33    |  1.38  |   0.66  |  ibmq_quebec   |
|   3198 |   4   |   20  |  3   |  4   |    0.15    | 3  | 2  | 5  | 4  |  2  |  2  |  3  | 4  | 3  |      48     |    15    |   0.75   |     0.20    |  0.60  |   0.67  | ibmq_peekskill |
|   3199 |   10  |   13  |  4   |  3   |    0.31    | 4  | 4  | 4  | 3  |  6  |  3  |  4  | 5  | 3  |      64     |    15    |   0.40   |     0.77    |  1.00  |   0.61  |  ibmq_sydney   |
|   3200 |   11  |   17  |  8   |  7   |    0.47    | 7  | 6  | 2  | 4  |  4  |  9  |  3  | 6  | 3  |      85     |    15    |   0.73   |     0.65    |  1.00  |   0.60  |  ibmq_prague   |
|   3201 |   4   |   35  |  8   |  4   |    0.23    | 9  | 6  | 8  | 7  |  3  |  7  |  3  | 7  | 4  |      84     |    15    |   2.00   |     0.11    |  1.60  |   0.69  |  ibmq_prague   |
|   3202 |   8   |   16  |  4   |  3   |    0.25    | 3  | 2  | 6  | 3  |  7  |  6  |  4  | 2  | 6  |      64     |    15    |   0.50   |     0.50    |  1.00  |   0.66  |  ibmq_quebec   |
|   3203 |   5   |   8   |  4   |  2   |    0.50    | 1  | 2  | 2  | 3  |  3  |  1  |  1  | 0  | 3  |      28     |    12    |   0.80   |     0.62    |  1.33  |   0.64  | ibmq_montreal  |
|   3204 |   8   |   18  |  4   |  1   |    0.22    | 5  | 8  | 4  | 6  |  3  |  9  |  7  | 7  | 5  |      83     |    15    |   0.50   |     0.44    |  2.00  |   0.66  |  ibmq_quebec   |
|   3205 |   6   |   40  |  13  |  9   |    0.33    | 10 | 11 | 19 | 9  |  7  |  6  |  6  | 11 | 10 |     135     |    15    |   2.17   |     0.15    |  1.30  |   0.73  |   ibmq_osaka   |
|   3206 |   8   |   31  |  11  |  9   |    0.35    | 11 | 8  | 12 | 10 |  5  |  14 |  13 | 9  | 8  |     142     |    15    |   1.38   |     0.26    |  1.10  |   0.70  |ibmq_sherbrooke |
|   3207 |   5   |   42  |  13  |  8   |    0.31    | 11 | 10 | 8  | 6  |  14 |  10 |  9  | 10 | 7  |     125     |    15    |   2.60   |     0.12    |  1.44  |   0.74  |  ibmq_prague   |
|   3208 |   8   |   20  |  4   |  2   |    0.20    | 12 | 7  | 7  | 12 |  8  |  7  |  10 | 3  | 5  |      99     |    15    |   0.50   |     0.40    |  1.33  |   0.74  |  ibmq_quebec   |
|   3209 |   7   |   35  |  8   |  18  |    0.23    | 8  | 14 | 9  | 13 |  13 |  13 |  11 | 10 | 11 |     159     |    15    |   1.14   |     0.20    |  0.42  |   0.75  |  ibmq_prague   |
|   3210 |   6   |   17  |  5   |  7   |    0.29    | 2  | 5  | 1  | 5  |  6  |  2  |  2  | 8  | 2  |      63     |    15    |   0.83   |     0.35    |  0.62  |   0.63  | ibmq_peekskill |
|   3211 |   4   |   16  |  3   |  3   |    0.19    | 2  | 2  | 0  | 4  |  3  |  3  |  4  | 1  | 5  |      40     |    13    |   0.75   |     0.25    |  0.75  |   0.68  |   ibmq_osaka   |
|   3212 |   10  |   25  |  11  |  5   |    0.44    | 10 | 9  | 6  | 14 |  7  |  9  |  7  | 12 | 11 |     129     |    15    |   1.10   |     0.40    |  1.83  |   0.70  |  ibmq_prague   |
|   3213 |   11  |   46  |  14  |  15  |    0.30    | 16 | 17 | 16 | 22 |  19 |  13 |  22 | 13 | 16 |     241     |    15    |   1.27   |     0.24    |  0.88  |   0.70  |  ibmq_prague   |
|   3214 |   6   |   20  |  7   |  3   |    0.35    | 6  | 4  | 0  | 1  |  7  |  4  |  3  | 1  | 5  |      57     |    14    |   1.17   |     0.30    |  1.75  |   0.60  | ibmq_marrakesh |
|   3215 |   4   |   25  |  4   |  3   |    0.16    | 5  | 3  | 7  | 3  |  4  |  5  |  3  | 2  | 6  |      60     |    15    |   1.00   |     0.16    |  1.00  |   0.68  |   ibmq_osaka   |
|   3216 |   4   |   16  |  2   |  4   |    0.12    | 1  | 1  | 1  | 2  |  2  |  4  |  6  | 2  | 2  |      40     |    15    |   0.50   |     0.25    |  0.40  |   0.62  |   ibmq_osaka   |
|   3217 |   11  |   33  |  14  |  10  |    0.42    | 15 | 6  | 7  | 11 |  16 |  13 |  9  | 9  | 14 |     163     |    15    |   1.27   |     0.33    |  1.27  |   0.67  |  ibmq_prague   |
|   3218 |   5   |   28  |  6   |  6   |    0.21    | 2  | 5  | 4  | 4  |  6  |  6  |  8  | 8  | 4  |      75     |    15    |   1.20   |     0.18    |  0.86  |   0.71  |  ibmq_quebec   |
|   3219 |   4   |   16  |  3   |  8   |    0.19    | 1  | 3  | 0  | 1  |  3  |  1  |  5  | 1  | 2  |      39     |    14    |   0.75   |     0.25    |  0.33  |   0.64  |ibmq_washington |
|   3220 |   10  |   42  |  16  |  14  |    0.38    | 17 | 13 | 14 | 14 |  21 |  24 |  11 | 7  | 21 |     224     |    15    |   1.60   |     0.24    |  1.07  |   0.70  |  ibmq_prague   |
|   3221 |   4   |   26  |  4   |  3   |    0.15    | 7  | 2  | 5  | 2  |  5  |  6  |  8  | 4  | 4  |      65     |    15    |   1.00   |     0.15    |  1.00  |   0.71  | ibmq_montreal  |
|   3222 |   11  |   31  |  10  |  13  |    0.32    | 20 | 10 | 17 | 12 |  13 |  17 |  11 | 16 | 17 |     198     |    15    |   0.91   |     0.35    |  0.71  |   0.74  |ibmq_sherbrooke |
|   3223 |   11  |   18  |  7   |  10  |    0.39    | 8  | 2  | 10 | 6  |  4  |  11 |  4  | 6  | 6  |     100     |    15    |   0.64   |     0.61    |  0.64  |   0.67  |ibmq_sherbrooke |
|   3224 |   8   |   18  |  8   |  4   |    0.44    | 3  | 6  | 4  | 6  |  10 |  5  |  4  | 4  | 4  |      75     |    15    |   1.00   |     0.44    |  1.60  |   0.67  |ibmq_poughkeepsie|
|   3225 |   9   |   17  |  8   |  5   |    0.47    | 6  | 8  | 1  | 7  |  3  |  7  |  10 | 5  | 8  |      87     |    15    |   0.89   |     0.53    |  1.33  |   0.69  | ibmq_peekskill |
|   3226 |   8   |   39  |  12  |  8   |    0.31    | 13 | 7  | 10 | 6  |  10 |  10 |  10 | 8  | 15 |     144     |    15    |   1.50   |     0.21    |  1.33  |   0.67  | ibmq_marrakesh |
|   3227 |   4   |   38  |  4   |  9   |    0.11    | 10 | 3  | 7  | 7  |  10 |  2  |  8  | 8  | 5  |      95     |    15    |   1.00   |     0.11    |  0.40  |   0.73  |  ibmq_quebec   |
|   3228 |   5   |   36  |  8   |  9   |    0.22    | 7  | 10 | 9  | 9  |  2  |  6  |  9  | 8  | 12 |     109     |    15    |   1.60   |     0.14    |  0.80  |   0.74  |ibmq_sherbrooke |
|   3229 |   5   |   14  |  4   |  5   |    0.29    | 2  | 1  | 2  | 4  |  2  |  4  |  3  | 2  | 5  |      46     |    15    |   0.80   |     0.36    |  0.67  |   0.65  | ibmq_melbourne |
|   3230 |   10  |   17  |  3   |  7   |    0.18    | 3  | 4  | 6  | 4  |  5  |  5  |  6  | 4  | 6  |      78     |    15    |   0.30   |     0.59    |  0.38  |   0.64  | ibmq_brooklyn  |
|   3231 |   8   |   14  |  5   |  1   |    0.36    | 1  | 5  | 1  | 3  |  7  |  4  |  6  | 1  | 8  |      60     |    15    |   0.62   |     0.57    |  2.50  |   0.62  |ibmq_sherbrooke |
|   3232 |   4   |   35  |  7   |  7   |    0.20    | 4  | 4  | 10 | 4  |  5  |  7  |  6  | 8  | 3  |      82     |    15    |   1.75   |     0.11    |  0.88  |   0.71  | ibmq_manhattan |
|   3233 |   11  |   22  |  10  |  6   |    0.45    | 6  | 11 | 9  | 9  |  11 |  10 |  11 | 7  | 9  |     131     |    15    |   0.91   |     0.50    |  1.43  |   0.68  |ibmq_sherbrooke |
|   3234 |   8   |   30  |  7   |  10  |    0.23    | 10 | 10 | 5  | 6  |  8  |  5  |  8  | 7  | 8  |     120     |    15    |   0.88   |     0.27    |  0.64  |   0.64  |ibmq_sherbrooke |
|   3235 |   6   |   35  |  9   |  13  |    0.26    | 14 | 8  | 7  | 9  |  7  |  7  |  10 | 8  | 3  |     123     |    15    |   1.50   |     0.17    |  0.64  |   0.70  |  ibmq_prague   |
|   3236 |   5   |   27  |  4   |  9   |    0.15    | 9  | 3  | 7  | 4  |  9  |  6  |  6  | 8  | 3  |      84     |    15    |   0.80   |     0.19    |  0.40  |   0.76  | ibmq_rochester |
|   3237 |   8   |   17  |  7   |  7   |    0.41    | 5  | 5  | 4  | 5  |  3  |  7  |  7  | 8  | 4  |      77     |    15    |   0.88   |     0.47    |  0.88  |   0.71  |  ibmq_quebec   |
|   3238 |   9   |   27  |  8   |  8   |    0.30    | 9  | 11 | 7  | 7  |  13 |  14 |  10 | 9  | 8  |     140     |    15    |   0.89   |     0.33    |  0.89  |   0.69  |  ibmq_quebec   |
|   3239 |   6   |   42  |  10  |  8   |    0.24    | 4  | 5  | 10 | 5  |  12 |  7  |  13 | 7  | 5  |     115     |    15    |   1.67   |     0.14    |  1.11  |   0.66  |ibmq_sherbrooke |
|   3240 |   10  |   41  |  19  |  11  |    0.46    | 11 | 7  | 16 | 15 |  10 |  12 |  11 | 10 | 22 |     183     |    15    |   1.90   |     0.24    |  1.58  |   0.68  |  ibmq_prague   |
|   3241 |   11  |   45  |  25  |  17  |    0.56    | 21 | 12 | 17 | 12 |  17 |  24 |  14 | 17 | 18 |     239     |    15    |   2.27   |     0.24    |  1.39  |   0.71  | ibmq_peekskill |
|   3242 |   7   |   27  |  8   |  10  |    0.30    | 11 | 8  | 5  | 10 |  15 |  7  |  8  | 9  | 9  |     122     |    15    |   1.14   |     0.26    |  0.73  |   0.75  | ibmq_marrakesh |
|   3243 |   7   |   37  |  18  |  9   |    0.49    | 13 | 7  | 11 | 9  |  10 |  10 |  9  | 8  | 12 |     142     |    15    |   2.57   |     0.19    |  1.80  |   0.69  | ibmq_melbourne |
|   3244 |   10  |   30  |  10  |  17  |    0.33    | 12 | 4  | 6  | 9  |  11 |  8  |  9  | 8  | 13 |     142     |    15    |   1.00   |     0.33    |  0.56  |   0.68  |ibmq_sherbrooke |
|   3245 |   9   |   16  |  6   |  5   |    0.38    | 6  | 4  | 4  | 6  |  7  |  4  |  4  | 5  | 7  |      79     |    15    |   0.67   |     0.56    |  1.00  |   0.66  | ibmq_singapore |
|   3246 |   8   |   18  |  6   |  4   |    0.33    | 6  | 13 | 4  | 3  |  2  |  5  |  3  | 8  | 8  |      84     |    15    |   0.75   |     0.44    |  1.20  |   0.67  |ibmq_sherbrooke |
|   3247 |   4   |   39  |  11  |  5   |    0.28    | 6  | 10 | 6  | 3  |  1  |  1  |  6  | 5  | 8  |      82     |    15    |   2.75   |     0.10    |  1.83  |   0.62  |  ibmq_prague   |
|   3248 |   7   |   12  |  2   |  1   |    0.17    | 3  | 2  | 2  | 0  |  1  |  1  |  5  | 3  | 6  |      41     |    14    |   0.29   |     0.58    |  1.00  |   0.59  |  ibmq_sydney   |
|   3249 |   11  |   22  |  6   |  6   |    0.27    | 7  | 11 | 10 | 8  |  6  |  15 |  8  | 12 | 15 |     130     |    15    |   0.55   |     0.50    |  0.86  |   0.75  |  ibmq_prague   |
|   3250 |   5   |   27  |  6   |  4   |    0.22    | 7  | 7  | 13 | 8  |  2  |  8  |  7  | 12 | 1  |      91     |    15    |   1.20   |     0.19    |  1.20  |   0.76  | ibmq_manhattan |
|   3251 |   4   |   28  |  4   |  2   |    0.14    | 4  | 3  | 7  | 2  |  6  |  1  |  5  | 3  | 4  |      61     |    15    |   1.00   |     0.14    |  1.33  |   0.61  |  ibmq_prague   |
|   3252 |   8   |   20  |  5   |  3   |    0.25    | 10 | 13 | 4  | 4  |  8  |  3  |  3  | 3  | 8  |      86     |    15    |   0.62   |     0.40    |  1.25  |   0.69  | ibmq_peekskill |
|   3253 |   4   |   23  |  2   |  1   |    0.09    | 4  | 3  | 6  | 4  |  3  |  3  |  3  | 1  | 6  |      53     |    15    |   0.50   |     0.17    |  1.00  |   0.64  |   ibmq_oslo    |
|   3254 |   11  |   18  |  6   |  10  |    0.33    | 5  | 4  | 7  | 2  |  6  |  5  |  6  | 8  | 5  |      88     |    15    |   0.55   |     0.61    |  0.55  |   0.66  |  ibmq_prague   |
|   3255 |   9   |   39  |  16  |  10  |    0.41    | 13 | 11 | 8  | 13 |  15 |  12 |  13 | 18 | 17 |     180     |    15    |   1.78   |     0.23    |  1.45  |   0.72  |  ibmq_prague   |
|   3256 |   9   |   42  |  11  |  17  |    0.26    | 13 | 16 | 13 | 8  |  12 |  16 |  11 | 9  | 15 |     180     |    15    |   1.22   |     0.21    |  0.61  |   0.72  |ibmq_sherbrooke |
|   3257 |   9   |   28  |  10  |  10  |    0.36    | 11 | 12 | 7  | 11 |  9  |  6  |  8  | 11 | 10 |     131     |    15    |   1.11   |     0.32    |  0.91  |   0.73  | ibmq_marrakesh |
|   3258 |   6   |   12  |  4   |  2   |    0.33    | 3  | 2  | 5  | 1  |  3  |  0  |  4  | 4  | 2  |      41     |    14    |   0.67   |     0.50    |  1.33  |   0.63  |  ibmq_prague   |
|   3259 |   5   |   33  |  9   |  9   |    0.27    | 4  | 3  | 7  | 4  |  4  |  8  |  10 | 4  | 12 |      93     |    15    |   1.80   |     0.15    |  0.90  |   0.70  | ibmq_marrakesh |
