+----------+-------+-------+------+------+------------+----+----+----+----+-----+-----+-----+----+----+-------------+----------+----------+-------------+--------+---------+----------------+
|Circuit # | Qubits| Depth |  CX  |  U3  | Ent. Ratio | X  | Y  | Z  | H  |  RX |  RY |  RZ | S  | T  | Total Gates |Diversity | CX/Qubit | Width/Depth | CX/U3  | 1Q Ratio| Best Simulator |
|   396    |   9   |   24  |  10  |  7   |    0.42    | 5  | 9  | 16 | 10 |  13 |  9  |  6  | 6  | 13 |     131     |    15    |   1.11   |     0.38    |  1.25  |   0.72  |   ibmq_osaka   |
|   397    |   5   |   8   |  1   |  4   |    0.12    | 2  | 1  | 3  | 2  |  4  |  3  |  1  | 1  | 3  |      32     |    14    |   0.20   |     0.62    |  0.20  |   0.75  |  ibmq_ourense  |
|   398    |   4   |   9   |  1   |  1   |    0.11    | 3  | 1  | 3  | 4  |  0  |  0  |  1  | 1  | 0  |      24     |    12    |   0.25   |     0.44    |  0.50  |   0.58  |ibmq_poughkeepsie|
|   399    |   10  |   16  |  5   |  8   |    0.31    | 4  | 8  | 5  | 9  |  5  |  4  |  5  | 9  | 3  |      89     |    15    |   0.50   |     0.62    |  0.56  |   0.67  |  ibmq_toronto  |
|   400    |   10  |   18  |  6   |  7   |    0.33    | 7  | 9  | 7  | 6  |  8  |  5  |  4  | 7  | 5  |      99     |    15    |   0.60   |     0.56    |  0.75  |   0.66  | ibmq_brooklyn  |
|   401    |   8   |   30  |  11  |  8   |    0.37    | 8  | 8  | 8  | 8  |  13 |  13 |  7  | 10 | 2  |     128     |    15    |   1.38   |     0.27    |  1.22  |   0.66  |  ibmq_prague   |
|   402    |   11  |   35  |  12  |  11  |    0.34    | 18 | 16 | 11 | 19 |  15 |  15 |  8  | 17 | 25 |     213     |    15    |   1.09   |     0.31    |  1.00  |   0.73  | ibmq_manhattan |
|   403    |   11  |   25  |  4   |  4   |    0.16    | 12 | 5  | 16 | 7  |  19 |  8  |  15 | 9  | 13 |     149     |    15    |   0.36   |     0.44    |  0.80  |   0.72  |ibmq_washington |
|   404    |   7   |   12  |  3   |  2   |    0.25    | 1  | 2  | 4  | 3  |  3  |  2  |  2  | 1  | 4  |      41     |    15    |   0.43   |     0.58    |  1.00  |   0.59  |ibmq_sherbrooke |
|   405    |   11  |   14  |  6   |  4   |    0.43    | 4  | 6  | 2  | 3  |  7  |  4  |  4  | 4  | 9  |      79     |    15    |   0.55   |     0.79    |  1.20  |   0.59  |  ibmq_quebec   |
|   406    |   4   |   11  |  3   |  0   |    0.27    | 4  | 3  | 1  | 0  |  4  |  0  |  3  | 0  | 2  |      30     |    11    |   0.75   |     0.36    |  3.00  |   0.57  |  ibmq_toronto  |
|   407    |   6   |   28  |  7   |  8   |    0.25    | 8  | 7  | 4  | 4  |  9  |  10 |  4  | 3  | 6  |      92     |    15    |   1.17   |     0.21    |  0.78  |   0.68  |  ibmq_quebec   |
|   408    |   11  |   23  |  7   |  11  |    0.30    | 9  | 7  | 12 | 14 |  17 |  13 |  16 | 9  | 8  |     161     |    15    |   0.64   |     0.48    |  0.58  |   0.72  | ibmq_manhattan |
|   409    |   9   |   37  |  13  |  18  |    0.35    | 14 | 19 | 17 | 13 |  7  |  10 |  18 | 14 | 7  |     188     |    15    |   1.44   |     0.24    |  0.68  |   0.73  |  ibmq_prague   |
|   410    |   7   |   47  |  17  |  12  |    0.36    | 14 | 14 | 11 | 7  |  16 |  17 |  11 | 15 | 13 |     176     |    15    |   2.43   |     0.15    |  1.31  |   0.74  | ibmq_singapore |
|   411    |   8   |   26  |  14  |  7   |    0.54    | 3  | 10 | 5  | 7  |  5  |  9  |  8  | 8  | 7  |     110     |    15    |   1.75   |     0.31    |  1.75  |   0.63  | ibmq_manhattan |
|   412    |   11  |   43  |  22  |  22  |    0.51    | 17 | 21 | 25 | 19 |  19 |  23 |  20 | 19 | 15 |     263     |    15    |   2.00   |     0.26    |  0.96  |   0.76  |  ibmq_prague   |
|   413    |   4   |   35  |  9   |  11  |    0.26    | 5  | 6  | 5  | 5  |  5  |  7  |  4  | 3  | 3  |      81     |    15    |   2.25   |     0.11    |  0.75  |   0.67  |  ibmq_prague   |
|   414    |   11  |   33  |  20  |  20  |    0.61    | 14 | 9  | 12 | 13 |  6  |  15 |  19 | 9  | 16 |     190     |    15    |   1.82   |     0.33    |  0.95  |   0.70  |  ibmq_sydney   |
|   415    |   7   |   20  |  6   |  3   |    0.30    | 6  | 7  | 3  | 11 |  4  |  1  |  5  | 5  | 4  |      74     |    15    |   0.86   |     0.35    |  1.50  |   0.66  |  ibmq_quebec   |
|   416    |   9   |   23  |  15  |  6   |    0.65    | 4  | 7  | 11 | 9  |  9  |  12 |  6  | 7  | 7  |     111     |    15    |   1.67   |     0.39    |  2.14  |   0.70  |  ibmq_sydney   |
|   417    |   6   |   20  |  6   |  6   |    0.30    | 1  | 2  | 3  | 4  |  3  |  4  |  7  | 5  | 8  |      66     |    15    |   1.00   |     0.30    |  0.86  |   0.65  | ibmq_manhattan |
|   418    |   7   |   22  |  5   |  4   |    0.23    | 6  | 6  | 8  | 3  |  3  |  10 |  6  | 5  | 5  |      85     |    15    |   0.71   |     0.32    |  1.00  |   0.66  |  ibmq_sydney   |
|   419    |   8   |   13  |  6   |  5   |    0.46    | 5  | 4  | 7  | 0  |  3  |  3  |  5  | 4  | 6  |      63     |    14    |   0.75   |     0.62    |  1.00  |   0.67  | ibmq_marrakesh |
|   420    |   4   |   13  |  2   |  6   |    0.15    | 2  | 2  | 3  | 2  |  3  |  2  |  1  | 1  | 0  |      32     |    14    |   0.50   |     0.31    |  0.29  |   0.69  | ibmq_valencia  |
|   421    |   10  |   36  |  14  |  24  |    0.39    | 11 | 17 | 16 | 16 |  11 |  11 |  19 | 17 | 15 |     214     |    15    |   1.40   |     0.28    |  0.56  |   0.73  |  ibmq_prague   |
|   422    |   5   |   39  |  11  |  7   |    0.28    | 7  | 18 | 5  | 8  |  6  |  12 |  7  | 8  | 9  |     119     |    15    |   2.20   |     0.13    |  1.38  |   0.73  | ibmq_singapore |
|   423    |   9   |   24  |  9   |  8   |    0.38    | 9  | 7  | 9  | 6  |  6  |  8  |  5  | 13 | 4  |     114     |    15    |   1.00   |     0.38    |  1.00  |   0.66  | ibmq_brooklyn  |
|   424    |   5   |   27  |  10  |  5   |    0.37    | 9  | 8  | 4  | 6  |  3  |  8  |  4  | 5  | 6  |      81     |    15    |   2.00   |     0.19    |  1.67  |   0.72  | ibmq_santiago  |
|   425    |   8   |   21  |  5   |  5   |    0.24    | 6  | 6  | 3  | 3  |  3  |  6  |  11 | 7  | 2  |      83     |    15    |   0.62   |     0.38    |  0.83  |   0.63  |  ibmq_sydney   |
|   426    |   9   |   52  |  23  |  18  |    0.44    | 14 | 13 | 14 | 11 |  9  |  12 |  12 | 11 | 21 |     195     |    15    |   2.56   |     0.17    |  1.21  |   0.69  |   ibmq_osaka   |
|   427    |   10  |   12  |  6   |  3   |    0.50    | 4  | 4  | 4  | 6  |  2  |  1  |  4  | 9  | 6  |      69     |    15    |   0.60   |     0.83    |  1.50  |   0.62  | ibmq_rochester |
|   428    |   6   |   35  |  7   |  10  |    0.20    | 3  | 4  | 6  | 11 |  10 |  5  |  6  | 10 | 3  |     102     |    15    |   1.17   |     0.17    |  0.64  |   0.67  | ibmq_rochester |
|   429    |   6   |   17  |  4   |  1   |    0.24    | 3  | 4  | 5  | 8  |  2  |  5  |  7  | 4  | 4  |      63     |    15    |   0.67   |     0.35    |  2.00  |   0.68  |  ibmq_prague   |
|   430    |   5   |   28  |  9   |  9   |    0.32    | 6  | 1  | 8  | 8  |  5  |  8  |  3  | 4  | 5  |      83     |    15    |   1.80   |     0.18    |  0.90  |   0.69  |   ibmq_rome    |
|   431    |   6   |   42  |  7   |  9   |    0.17    | 7  | 13 | 12 | 8  |  8  |  4  |  12 | 6  | 6  |     125     |    15    |   1.17   |     0.14    |  0.70  |   0.68  |  ibmq_jakarta  |
|   432    |   5   |   21  |  6   |  3   |    0.29    | 7  | 6  | 5  | 7  |  3  |  6  |  6  | 3  | 3  |      71     |    15    |   1.20   |     0.24    |  1.50  |   0.69  | ibmq_santiago  |
|   433    |   7   |   9   |  4   |  6   |    0.44    | 1  | 0  | 3  | 2  |  3  |  3  |  3  | 0  | 2  |      38     |    13    |   0.57   |     0.78    |  0.57  |   0.61  |  ibmq_mumbai   |
|   434    |   6   |   45  |  7   |  8   |    0.16    | 13 | 11 | 5  | 9  |  15 |  6  |  12 | 12 | 16 |     148     |    15    |   1.17   |     0.13    |  0.78  |   0.72  | ibmq_rochester |
|   435    |   8   |   38  |  14  |  6   |    0.37    | 8  | 12 | 9  | 8  |  7  |  3  |  9  | 9  | 10 |     132     |    15    |   1.75   |     0.21    |  2.00  |   0.61  | ibmq_marrakesh |
|   436    |   5   |   16  |  3   |  5   |    0.19    | 3  | 2  | 4  | 3  |  2  |  6  |  5  | 0  | 4  |      49     |    14    |   0.60   |     0.31    |  0.50  |   0.69  |   ibmq_paris   |
|   437    |   8   |   16  |  7   |  4   |    0.44    | 5  | 4  | 3  | 9  |  8  |  4  |  3  | 5  | 2  |      71     |    15    |   0.88   |     0.50    |  1.40  |   0.66  |  ibmq_quebec   |
|   438    |   9   |   28  |  14  |  8   |    0.50    | 8  | 14 | 13 | 6  |  9  |  14 |  9  | 12 | 7  |     147     |    15    |   1.56   |     0.32    |  1.56  |   0.68  |ibmq_washington |
|   439    |   11  |   43  |  17  |  19  |    0.40    | 18 | 20 | 18 | 19 |  20 |  15 |  17 | 15 | 16 |     244     |    15    |   1.55   |     0.26    |  0.85  |   0.73  | ibmq_singapore |
|   440    |   11  |   13  |  8   |  2   |    0.62    | 6  | 7  | 7  | 8  |  5  |  7  |  5  | 7  | 3  |      84     |    15    |   0.73   |     0.85    |  2.67  |   0.68  | ibmq_marrakesh |
|   441    |   11  |   43  |  20  |  13  |    0.47    | 11 | 17 | 25 | 21 |  20 |  19 |  22 | 14 | 17 |     243     |    15    |   1.82   |     0.26    |  1.43  |   0.74  | ibmq_singapore |
|   442    |   9   |   29  |  11  |  9   |    0.38    | 6  | 11 | 11 | 10 |  12 |  5  |  2  | 6  | 6  |     121     |    15    |   1.22   |     0.31    |  1.10  |   0.64  |ibmq_washington |
|   443    |   6   |   44  |  10  |  10  |    0.23    | 8  | 10 | 11 | 9  |  12 |  11 |  9  | 8  | 12 |     143     |    15    |   1.67   |     0.14    |  0.91  |   0.70  | ibmq_rochester |
|   444    |   8   |   39  |  14  |  11  |    0.36    | 9  | 10 | 13 | 14 |  13 |  11 |  11 | 13 | 15 |     165     |    15    |   1.75   |     0.21    |  1.17  |   0.73  |  ibmq_quebec   |
|   445    |   8   |   19  |  8   |  2   |    0.42    | 5  | 5  | 6  | 6  |  1  |  6  |  10 | 5  | 6  |      82     |    15    |   1.00   |     0.42    |  2.67  |   0.63  |  ibmq_quebec   |
|   446    |   10  |   27  |  17  |  18  |    0.63    | 13 | 9  | 9  | 9  |  9  |  10 |  10 | 10 | 4  |     144     |    15    |   1.70   |     0.37    |  0.89  |   0.70  |ibmq_sherbrooke |
|   447    |   10  |   11  |  4   |  4   |    0.36    | 5  | 2  | 0  | 5  |  5  |  1  |  6  | 5  | 1  |      54     |    14    |   0.40   |     0.91    |  0.80  |   0.63  | ibmq_rochester |
|   448    |   4   |   31  |  2   |  1   |    0.06    | 8  | 7  | 5  | 2  |  9  |  2  |  5  | 9  | 4  |      72     |    15    |   0.50   |     0.13    |  1.00  |   0.72  |ibmq_washington |
|   449    |   4   |   36  |  6   |  2   |    0.17    | 5  | 6  | 10 | 3  |  8  |  8  |  8  | 3  | 4  |      82     |    15    |   1.50   |     0.11    |  2.00  |   0.70  |  ibmq_jakarta  |
|   450    |   7   |   20  |  7   |  4   |    0.35    | 2  | 6  | 4  | 3  |  6  |  7  |  4  | 9  | 10 |      79     |    15    |   1.00   |     0.35    |  1.40  |   0.70  | ibmq_marrakesh |
|   451    |   10  |   43  |  13  |  19  |    0.30    | 12 | 10 | 20 | 13 |  16 |  14 |  15 | 17 | 14 |     209     |    15    |   1.30   |     0.23    |  0.65  |   0.72  |ibmq_washington |
|   452    |   4   |   15  |  3   |  2   |    0.20    | 3  | 2  | 3  | 4  |  3  |  3  |  1  | 2  | 3  |      40     |    15    |   0.75   |     0.27    |  1.00  |   0.65  | ibmq_rochester |
|   453    |   11  |   16  |  5   |  5   |    0.31    | 9  | 4  | 5  | 6  |  4  |  7  |  5  | 2  | 8  |      83     |    15    |   0.45   |     0.69    |  0.83  |   0.66  |  ibmq_quebec   |
|   454    |   5   |   8   |  3   |  2   |    0.38    | 4  | 3  | 1  | 0  |  1  |  1  |  4  | 1  | 6  |      32     |    12    |   0.60   |     0.62    |  1.00  |   0.72  |ibmq_sherbrooke |
|   455    |   8   |   28  |  13  |  9   |    0.46    | 12 | 5  | 7  | 5  |  7  |  6  |  7  | 8  | 6  |     114     |    15    |   1.62   |     0.29    |  1.30  |   0.63  | ibmq_marrakesh |
|   456    |   11  |   11  |  6   |  3   |    0.55    | 5  | 4  | 5  | 6  |  2  |  7  |  4  | 4  | 2  |      69     |    15    |   0.55   |     1.00    |  1.50  |   0.61  | ibmq_rochester |
|   457    |   4   |   28  |  4   |  5   |    0.14    | 6  | 5  | 4  | 7  |  8  |  5  |  3  | 9  | 5  |      74     |    15    |   1.00   |     0.14    |  0.67  |   0.77  |  ibmq_nairobi  |
|   458    |   9   |   14  |  5   |  3   |    0.36    | 0  | 3  | 7  | 2  |  4  |  3  |  5  | 3  | 6  |      61     |    14    |   0.56   |     0.64    |  1.25  |   0.59  |ibmq_sherbrooke |
|   459    |   9   |   32  |  11  |  13  |    0.34    | 10 | 8  | 7  | 10 |  11 |  11 |  8  | 25 | 15 |     166     |    15    |   1.22   |     0.28    |  0.79  |   0.71  |ibmq_sherbrooke |
|   460    |   4   |   15  |  4   |  3   |    0.27    | 3  | 0  | 5  | 2  |  1  |  3  |  3  | 1  | 4  |      39     |    13    |   1.00   |     0.27    |  1.00  |   0.64  |ibmq_poughkeepsie|
|   461    |   8   |   43  |  14  |  11  |    0.33    | 9  | 13 | 12 | 10 |  12 |  14 |  8  | 21 | 12 |     178     |    15    |   1.75   |     0.19    |  1.17  |   0.69  |  ibmq_sydney   |
|   462    |   7   |   28  |  6   |  8   |    0.21    | 7  | 11 | 7  | 11 |  9  |  6  |  6  | 7  | 7  |     110     |    15    |   0.86   |     0.25    |  0.67  |   0.72  |ibmq_poughkeepsie|
|   463    |   8   |   44  |  16  |  15  |    0.36    | 15 | 12 | 9  | 17 |  12 |  10 |  19 | 8  | 14 |     183     |    15    |   2.00   |     0.18    |  1.00  |   0.72  |ibmq_sherbrooke |
|   464    |   6   |   20  |  6   |  7   |    0.30    | 6  | 5  | 9  | 3  |  6  |  3  |  4  | 1  | 2  |      70     |    15    |   1.00   |     0.30    |  0.75  |   0.66  |  ibmq_quebec   |
|   465    |   7   |   14  |  3   |  2   |    0.21    | 3  | 5  | 1  | 0  |  3  |  1  |  2  | 7  | 4  |      49     |    14    |   0.43   |     0.50    |  1.00  |   0.57  |ibmq_sherbrooke |
|   466    |   5   |   13  |  2   |  1   |    0.15    | 3  | 3  | 4  | 2  |  1  |  1  |  3  | 2  | 3  |      35     |    15    |   0.40   |     0.38    |  1.00  |   0.66  |ibmq_poughkeepsie|
|   467    |   5   |   41  |  11  |  7   |    0.27    | 7  | 6  | 8  | 6  |  9  |  10 |  5  | 7  | 12 |     112     |    15    |   2.20   |     0.12    |  1.38  |   0.69  |ibmq_sherbrooke |
|   468    |   5   |   30  |  7   |  6   |    0.23    | 7  | 8  | 0  | 7  |  5  |  5  |  9  | 4  | 7  |      83     |    14    |   1.40   |     0.17    |  1.00  |   0.70  | ibmq_marrakesh |
|   469    |   11  |   33  |  16  |  10  |    0.48    | 11 | 15 | 12 | 9  |  11 |  15 |  13 | 14 | 22 |     187     |    15    |   1.45   |     0.33    |  1.45  |   0.71  |  ibmq_prague   |
|   470    |   9   |   22  |  6   |  6   |    0.27    | 6  | 6  | 9  | 6  |  9  |  7  |  8  | 11 | 8  |     105     |    15    |   0.67   |     0.41    |  0.86  |   0.72  | ibmq_peekskill |
|   471    |   9   |   15  |  7   |  5   |    0.47    | 5  | 3  | 8  | 3  |  5  |  3  |  3  | 1  | 3  |      66     |    15    |   0.78   |     0.60    |  1.17  |   0.59  | ibmq_montreal  |
|   472    |   9   |   25  |  15  |  8   |    0.60    | 7  | 6  | 7  | 15 |  4  |  10 |  10 | 11 | 8  |     124     |    15    |   1.67   |     0.36    |  1.67  |   0.69  | ibmq_marrakesh |
|   473    |   11  |   26  |  13  |  11  |    0.50    | 13 | 15 | 7  | 9  |  9  |  12 |  17 | 14 | 13 |     165     |    15    |   1.18   |     0.42    |  1.08  |   0.73  | ibmq_marrakesh |
|   474    |   10  |   34  |  12  |  8   |    0.35    | 8  | 7  | 9  | 9  |  9  |  10 |  10 | 10 | 6  |     133     |    15    |   1.20   |     0.29    |  1.33  |   0.65  | ibmq_marrakesh |
|   475    |   11  |   26  |  8   |  10  |    0.31    | 10 | 7  | 6  | 9  |  9  |  16 |  10 | 11 | 8  |     135     |    15    |   0.73   |     0.42    |  0.73  |   0.71  |  ibmq_toronto  |
|   476    |   5   |   29  |  7   |  9   |    0.24    | 3  | 8  | 7  | 11 |  3  |  6  |  7  | 6  | 6  |      91     |    15    |   1.40   |     0.17    |  0.70  |   0.73  |ibmq_washington |
|   477    |   11  |   40  |  9   |  14  |    0.23    | 23 | 14 | 11 | 19 |  16 |  22 |  23 | 13 | 14 |     232     |    15    |   0.82   |     0.28    |  0.60  |   0.73  |  ibmq_mumbai   |
|   478    |   11  |   22  |  10  |  6   |    0.45    | 6  | 11 | 9  | 9  |  13 |  9  |  8  | 4  | 6  |     120     |    15    |   0.91   |     0.50    |  1.43  |   0.68  |ibmq_sherbrooke |
|   479    |   9   |   45  |  11  |  13  |    0.24    | 15 | 13 | 17 | 26 |  21 |  13 |  12 | 16 | 15 |     220     |    15    |   1.22   |     0.20    |  0.79  |   0.73  | ibmq_manhattan |
|   480    |   11  |   38  |  10  |  10  |    0.26    | 13 | 17 | 11 | 16 |  13 |  13 |  21 | 20 | 16 |     208     |    15    |   0.91   |     0.29    |  0.91  |   0.72  | ibmq_singapore |
|   481    |   11  |   44  |  29  |  18  |    0.66    | 24 | 19 | 23 | 20 |  12 |  17 |  17 | 17 | 21 |     261     |    15    |   2.64   |     0.25    |  1.53  |   0.72  | ibmq_marrakesh |
|   482    |   8   |   29  |  10  |  8   |    0.34    | 5  | 7  | 5  | 5  |  10 |  4  |  8  | 8  | 3  |     104     |    15    |   1.25   |     0.28    |  1.11  |   0.61  | ibmq_manhattan |
|   483    |   11  |   26  |  8   |  6   |    0.31    | 12 | 11 | 13 | 7  |  6  |  4  |  8  | 10 | 16 |     133     |    15    |   0.73   |     0.42    |  1.14  |   0.70  | ibmq_peekskill |
|   484    |   7   |   11  |  2   |  7   |    0.18    | 4  | 3  | 2  | 2  |  4  |  6  |  4  | 5  | 1  |      55     |    15    |   0.29   |     0.64    |  0.25  |   0.69  |  ibmq_prague   |
|   485    |   4   |   29  |  3   |  5   |    0.10    | 8  | 2  | 4  | 4  |  7  |  9  |  3  | 3  | 7  |      74     |    15    |   0.75   |     0.14    |  0.50  |   0.70  | ibmq_rochester |
|   486    |   7   |   27  |  10  |  9   |    0.37    | 9  | 7  | 5  | 8  |  10 |  7  |  5  | 9  | 9  |     109     |    15    |   1.43   |     0.26    |  1.00  |   0.72  |   ibmq_oslo    |
|   487    |   5   |   40  |  12  |  10  |    0.30    | 11 | 12 | 7  | 1  |  12 |  9  |  7  | 12 | 5  |     116     |    15    |   2.40   |     0.12    |  1.09  |   0.74  | ibmq_brooklyn  |
|   488    |   9   |   29  |  9   |  12  |    0.31    | 11 | 13 | 12 | 10 |  9  |  6  |  6  | 10 | 6  |     133     |    15    |   1.00   |     0.31    |  0.69  |   0.71  |  ibmq_prague   |
|   489    |   10  |   39  |  17  |  13  |    0.44    | 17 | 12 | 17 | 18 |  17 |  13 |  13 | 8  | 13 |     201     |    15    |   1.70   |     0.26    |  1.21  |   0.70  |ibmq_sherbrooke |
|   490    |   7   |   35  |  11  |  18  |    0.31    | 13 | 9  | 9  | 12 |  7  |  9  |  12 | 11 | 8  |     151     |    15    |   1.57   |     0.20    |  0.58  |   0.72  |  ibmq_mumbai   |
|   491    |   11  |   30  |  12  |  14  |    0.40    | 8  | 12 | 12 | 19 |  13 |  9  |  16 | 11 | 7  |     167     |    15    |   1.09   |     0.37    |  0.80  |   0.72  |ibmq_sherbrooke |
|   492    |   4   |   33  |  7   |  8   |    0.21    | 9  | 12 | 6  | 7  |  10 |  6  |  7  | 5  | 3  |      95     |    15    |   1.75   |     0.12    |  0.78  |   0.77  | ibmq_montreal  |
|   493    |   4   |   45  |  9   |  11  |    0.20    | 7  | 4  | 6  | 12 |  9  |  6  |  4  | 7  | 7  |     105     |    15    |   2.25   |     0.09    |  0.75  |   0.70  |  ibmq_quebec   |
|   494    |   7   |   35  |  11  |  9   |    0.31    | 8  | 7  | 11 | 10 |  10 |  8  |  8  | 11 | 5  |     125     |    15    |   1.57   |     0.20    |  1.10  |   0.70  |  ibmq_toronto  |
|   495    |   11  |   32  |  14  |  10  |    0.44    | 13 | 12 | 8  | 17 |  10 |  13 |  12 | 15 | 15 |     178     |    15    |   1.27   |     0.34    |  1.27  |   0.70  |  ibmq_sydney   |
|   496    |   10  |   40  |  15  |  9   |    0.38    | 13 | 13 | 14 | 15 |  16 |  15 |  14 | 15 | 19 |     206     |    15    |   1.50   |     0.25    |  1.50  |   0.69  | ibmq_peekskill |
|   497    |   10  |   40  |  16  |  19  |    0.40    | 13 | 18 | 18 | 13 |  18 |  9  |  8  | 9  | 24 |     208     |    15    |   1.60   |     0.25    |  0.80  |   0.72  | ibmq_montreal  |
|   498    |   4   |   28  |  8   |  7   |    0.29    | 3  | 4  | 3  | 6  |  5  |  4  |  5  | 3  | 4  |      65     |    15    |   2.00   |     0.14    |  1.00  |   0.68  |  ibmq_mumbai   |
|   499    |   10  |   24  |  12  |  2   |    0.50    | 9  | 8  | 12 | 5  |  7  |  6  |  2  | 2  | 9  |     101     |    15    |   1.20   |     0.42    |  4.00  |   0.61  | ibmq_manhattan |
|   500    |   7   |   19  |  12  |  4   |    0.63    | 4  | 1  | 2  | 4  |  3  |  4  |  8  | 4  | 8  |      67     |    15    |   1.71   |     0.37    |  2.40  |   0.63  |  ibmq_mumbai   |
|   501    |   7   |   20  |  7   |  5   |    0.35    | 6  | 2  | 5  | 4  |  3  |  11 |  5  | 3  | 6  |      78     |    15    |   1.00   |     0.35    |  1.17  |   0.64  | ibmq_manhattan |
|   502    |   10  |   45  |  18  |  13  |    0.40    | 15 | 22 | 20 | 13 |  13 |  17 |  16 | 14 | 15 |     226     |    15    |   1.80   |     0.22    |  1.29  |   0.70  | ibmq_montreal  |
|   503    |   8   |   18  |  8   |  5   |    0.44    | 2  | 7  | 3  | 3  |  4  |  4  |  5  | 1  | 2  |      62     |    15    |   1.00   |     0.44    |  1.33  |   0.58  |ibmq_poughkeepsie|
|   504    |   7   |   27  |  6   |  7   |    0.22    | 5  | 8  | 6  | 2  |  5  |  6  |  8  | 2  | 8  |      87     |    15    |   0.86   |     0.26    |  0.75  |   0.66  |  ibmq_toronto  |
|   505    |   5   |   13  |  2   |  2   |    0.15    | 2  | 1  | 2  | 3  |  4  |  3  |  3  | 2  | 0  |      36     |    13    |   0.40   |     0.38    |  0.67  |   0.61  |  ibmq_quebec   |
|   506    |   7   |   12  |  4   |  3   |    0.33    | 2  | 6  | 4  | 2  |  0  |  1  |  2  | 3  | 5  |      46     |    14    |   0.57   |     0.58    |  1.00  |   0.61  | ibmq_rochester |
|   507    |   8   |   32  |  12  |  9   |    0.38    | 6  | 10 | 10 | 6  |  13 |  12 |  7  | 12 | 10 |     137     |    15    |   1.50   |     0.25    |  1.20  |   0.69  |   ibmq_osaka   |
|   508    |   5   |   21  |  6   |  7   |    0.29    | 8  | 3  | 2  | 8  |  4  |  3  |  4  | 6  | 0  |      64     |    14    |   1.20   |     0.24    |  0.75  |   0.70  | ibmq_peekskill |
|   509    |   11  |   43  |  14  |  16  |    0.33    | 16 | 18 | 18 | 15 |  17 |  22 |  20 | 20 | 13 |     238     |    15    |   1.27   |     0.26    |  0.82  |   0.74  |  ibmq_prague   |
|   510    |   7   |   24  |  10  |  5   |    0.42    | 8  | 10 | 11 | 9  |  6  |  2  |  10 | 1  | 5  |      95     |    15    |   1.43   |     0.29    |  1.67  |   0.71  |   ibmq_paris   |
|   511    |   10  |   45  |  15  |  17  |    0.33    | 20 | 14 | 16 | 18 |  12 |  14 |  15 | 7  | 11 |     208     |    15    |   1.50   |     0.22    |  0.83  |   0.69  | ibmq_peekskill |
|   512    |   7   |   36  |  13  |  13  |    0.36    | 7  | 14 | 14 | 15 |  8  |  7  |  10 | 8  | 9  |     144     |    15    |   1.86   |     0.19    |  0.93  |   0.73  |ibmq_washington |
|   513    |   9   |   24  |  4   |  14  |    0.17    | 5  | 9  | 11 | 8  |  9  |  13 |  9  | 7  | 14 |     136     |    15    |   0.44   |     0.38    |  0.27  |   0.73  | ibmq_montreal  |
|   514    |   6   |   28  |  4   |  8   |    0.14    | 8  | 9  | 9  | 4  |  4  |  13 |  10 | 7  | 8  |     107     |    15    |   0.67   |     0.21    |  0.44  |   0.75  | ibmq_peekskill |
|   515    |   10  |   36  |  14  |  9   |    0.39    | 12 | 11 | 11 | 8  |  16 |  10 |  11 | 17 | 10 |     169     |    15    |   1.40   |     0.28    |  1.40  |   0.68  |  ibmq_prague   |
|   516    |   8   |   35  |  13  |  11  |    0.37    | 8  | 13 | 16 | 10 |  12 |  10 |  14 | 14 | 16 |     168     |    15    |   1.62   |     0.23    |  1.08  |   0.74  |ibmq_poughkeepsie|
|   517    |   6   |   36  |  11  |  6   |    0.31    | 8  | 8  | 6  | 7  |  12 |  6  |  8  | 8  | 5  |     109     |    15    |   1.83   |     0.17    |  1.57  |   0.68  |  ibmq_toronto  |
|   518    |   6   |   10  |  0   |  1   |    0.00    | 1  | 1  | 3  | 2  |  1  |  3  |  2  | 2  | 5  |      34     |    14    |   0.00   |     0.60    |  0.00  |   0.62  |ibmq_sherbrooke |
|   519    |   10  |   22  |  12  |  8   |    0.55    | 13 | 6  | 8  | 10 |  8  |  7  |  5  | 6  | 10 |     122     |    15    |   1.20   |     0.45    |  1.33  |   0.66  |  ibmq_prague   |
|   520    |   6   |   21  |  5   |  4   |    0.24    | 5  | 2  | 1  | 5  |  3  |  2  |  4  | 2  | 6  |      57     |    15    |   0.83   |     0.29    |  1.00  |   0.60  | ibmq_marrakesh |
|   521    |   5   |   33  |  7   |  11  |    0.21    | 8  | 8  | 6  | 5  |  7  |  7  |  3  | 7  | 7  |      93     |    15    |   1.40   |     0.15    |  0.58  |   0.74  |  ibmq_quebec   |
|   522    |   5   |   13  |  2   |  3   |    0.15    | 3  | 1  | 2  | 2  |  5  |  2  |  6  | 2  | 3  |      41     |    15    |   0.40   |     0.38    |  0.50  |   0.71  |  ibmq_toronto  |
|   523    |   9   |   33  |  12  |  8   |    0.36    | 18 | 11 | 6  | 11 |  12 |  9  |  12 | 9  | 13 |     153     |    15    |   1.33   |     0.27    |  1.33  |   0.71  |   ibmq_osaka   |
|   524    |   5   |   27  |  6   |  7   |    0.22    | 5  | 7  | 3  | 3  |  5  |  9  |  4  | 4  | 6  |      73     |    15    |   1.20   |     0.19    |  0.75  |   0.73  |  ibmq_quebec   |
